experiment,collection_window,metric,scope,sample_index,value,unit
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,0,2012.7,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,1,2012.15,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,2,2010.1,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,3,2012.27,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,4,2010.17,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,5,2012.38,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,6,2012.75,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,7,2010.56,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,8,2012.45,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,9,2010.35,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,10,2011.97,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,11,2010.39,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,12,2012.07,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,13,2010.6,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,14,2013.94,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,15,2009.54,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,16,2011.48,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,17,2011.01,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,18,2009.66,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,19,2015.73,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,20,2009.35,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,21,2013.42,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,22,2018.22,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,23,2013.91,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,24,2010.6,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,25,2012.16,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,26,2010.5,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,27,2011.82,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,28,2012.09,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,29,2009.9,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,30,2011.7,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,31,2009.98,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,32,2012.21,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,33,2010.22,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,34,2012.26,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,35,2010.23,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,36,2012.18,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,37,2010.34,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,38,2012.97,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,39,2010.38,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,40,2011.68,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,41,2011.88,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,42,2010.29,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,43,2011.96,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,44,2010.22,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,45,2011.59,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,46,2010.28,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,47,2018.11,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,48,2010.67,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,49,2013.4,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,50,2010.91,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,51,2012.64,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,52,2016.95,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,53,2013.56,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,54,2015.1,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,55,2018.97,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,56,2014.86,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,57,2010.31,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,58,2012.09,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN1,59,2009.95,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN2,0,2011.88,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN2,1,2011.39,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN2,2,2009.39,MB/s
correlation-stream-cores1,pcm_memory,memreadbw,SKT0CHAN2,3,2011.51,MB/s
