experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN6,1,877.36,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN6,2,875.87,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN6,3,876.9,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN7,0,879.45,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN7,1,877.39,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN7,2,875.86,MB/s
correlation-fio-randread-cores1,pcm_memory,memwritebw,SKT0CHAN7,3,876.93,MB/s
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE0,0,28.87,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE0,1,30.24,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE0,2,25.75,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE0,3,26.04,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE1,0,34.08,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE1,1,33.55,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE1,2,36.9,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE1,3,35.11,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE2,0,30.09,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE2,1,37.26,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE2,2,31.28,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE2,3,33.97,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE3,0,34.37,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE3,1,37.15,ns
correlation-fio-randread-cores1,pcm_latency,l1_miss_latency,CORE3,2,36.34,ns
