experiment,collection_window,metric,scope,sample_index,value,unit
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,55,839.38,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,56,838.59,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,57,839.56,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,58,839.73,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN0,59,838.69,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,0,838.92,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,1,839.69,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,2,840.09,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,3,837.98,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,4,838.79,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,5,842.78,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,6,840.12,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,7,841.68,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,8,839.77,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,9,847.75,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,10,838.27,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,11,839.46,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,12,838.39,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,13,840.23,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,14,838.1,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,15,839.03,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,16,838.22,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,17,839.26,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,18,839.59,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,19,838.3,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,20,838.85,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,21,838.48,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,22,839.01,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,23,838.32,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,24,838.77,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,25,838.27,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,26,839.47,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,27,784.65,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,28,835.97,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,29,836.62,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,30,835.8,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,31,836.74,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,32,835.49,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,33,836.2,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,34,835.7,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,35,837.26,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,36,840.5,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,37,840.29,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,38,840.25,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,39,842.69,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,40,840.43,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,41,846.39,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,42,842.85,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,43,848.59,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,44,839.64,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,45,841.28,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,46,839.78,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,47,840.31,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,48,839.39,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,49,840.6,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,50,839.32,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,51,840.23,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,52,839.16,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,53,840.3,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,54,839.17,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,55,840.2,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,56,839.55,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,57,840.38,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,58,840.47,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN1,59,839.76,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,0,838.27,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,1,839.01,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,2,839.38,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,3,837.35,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,4,837.96,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,5,842.34,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,6,838.94,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,7,840.77,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,8,838.91,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,9,846.87,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,10,837.45,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,11,838.46,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,12,838.06,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,13,839.51,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,14,837.73,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,15,838.34,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,16,837.24,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,17,838.27,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,18,838.85,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,19,837.76,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,20,838.14,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,21,837.84,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,22,838.4,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,23,837.6,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,24,838.37,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,25,837.25,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,26,838.23,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,27,783.42,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,28,835.22,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,29,836.32,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,30,834.75,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,31,835.99,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,32,834.71,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,33,835.32,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,34,834.81,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,35,836.22,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,36,839.21,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,37,839.65,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,38,839.89,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,39,841.82,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,40,839.81,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,41,845.25,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,42,841.59,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,43,847.57,MB/s
correlation-gapbs-pr-cores1,pcm_memory,memreadbw,SKT0CHAN2,44,838.8,MB/s
