experiment,collection_window,metric,scope,sample_index,value,unit
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN5,3,0.62,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN6,0,2.73,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN6,1,1.02,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN6,2,0.73,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN6,3,0.66,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN7,0,2.69,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN7,1,1.01,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN7,2,0.72,MB/s
correlation-fio-randwrite-cores1,pcm_memory,memwritebw,SKT0CHAN7,3,0.65,MB/s
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE0,0,46.98,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE0,1,34.62,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE0,2,24.37,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE0,3,28.47,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE1,0,33.96,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE1,1,33.72,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE1,2,40.0,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE1,3,35.34,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE2,0,35.94,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE2,1,34.59,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE2,2,36.64,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE2,3,38.33,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE3,0,30.26,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE3,1,30.25,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE3,2,33.05,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE3,3,32.11,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE4,0,12.51,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE4,1,9.94,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE4,2,15.41,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE4,3,10.42,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE5,0,31.49,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE5,1,30.05,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE5,2,34.79,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE5,3,27.5,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE6,0,35.41,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE6,1,29.99,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE6,2,49.77,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE6,3,29.26,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE7,0,31.52,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE7,1,22.88,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE7,2,33.78,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE7,3,22.93,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE8,0,31.78,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE8,1,34.94,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE8,2,35.79,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE8,3,32.31,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE9,0,25.11,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE9,1,26.02,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE9,2,27.76,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE9,3,26.2,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE10,0,30.93,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE10,1,32.0,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE10,2,38.13,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE10,3,37.73,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE11,0,34.01,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE11,1,30.46,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE11,2,35.74,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE11,3,31.66,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE12,0,35.45,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE12,1,35.13,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE12,2,37.03,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE12,3,36.55,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE13,0,36.25,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE13,1,33.12,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE13,2,17.52,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE13,3,32.03,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE14,0,25.77,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE14,1,24.95,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE14,2,28.65,ns
correlation-fio-randwrite-cores1,pcm_latency,l1_miss_latency,CORE14,3,24.26,ns
