Linux 5.15.0-187-generic (node0.katieyan-315918.ldos-ut-pg0.wisc.cloudlab.us) 	09/14/26 	_x86_64_	(32 CPU)

03:47:03        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:47:04        all      3.25      0.00      0.03      0.00      0.00     96.72
03:47:04          0      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04          1      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04          2      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04          3      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04          4    100.00      0.00      0.00      0.00      0.00      0.00
03:47:04          5      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04          6      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04          7      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04          8      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04          9      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         10      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         11      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         12      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         13      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         14      2.00      0.00      0.00      0.00      0.00     98.00
03:47:04         15      0.99      0.00      0.00      0.00      0.00     99.01
03:47:04         16      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         17      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         18      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         19      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         20      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         21      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         22      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         23      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         24      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         25      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         26      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         27      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         28      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         29      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         30      0.00      0.00      0.00      0.00      0.00    100.00
03:47:04         31      1.01      0.00      1.01      0.00      0.00     97.98

03:47:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:47:05        all      3.25      0.00      0.00      0.00      0.00     96.75
03:47:05          0      0.00      0.00      0.00      0.00      0.00    100.00
03:47:05          1      0.00      0.00      0.00      0.00      0.00    100.00
03:47:05          2      0.00      0.00      0.00      0.00      0.00    100.00
03:47:05          3      0.00      0.00      0.00      0.00      0.00    100.00
03:47:05          4    100.00      0.00      0.00      0.00      0.00      0.00
03:47:05          5      0.00      0.00      0.00      0.00      0.00    100.00
