cores,isolated_stream_MBps,colocated_stream_MBps,stream_slowdown_percent,isolated_l1_miss_latency_ns,colocated_l1_miss_latency_ns,latency_increase_percent,isolated_dram_read_MBps,colocated_dram_read_MBps,isolated_dram_write_MBps,colocated_dram_write_MBps,isolated_rpq_occupancy_per_channel,colocated_rpq_occupancy_per_channel,isolated_drd_latency_ns,colocated_drd_latency_ns,isolated_fio_GBps,colocated_fio_GBps,fio_slowdown_percent
1,16553.774146,14293.803614,13.652297730219376,42.33,49.2775,16.412709662178138,16828.61,15470.502500000002,11.6725,28793.1375,0.13083600206301577,0.22805107410446362,30.04410743310444,31.938645812677525,28.08555,28.113912499999998,-0.10098609427267036
2,31059.469849,26635.684807999998,14.242950901953122,45.215,53.260000000000005,17.79276788676325,32373.415,28445.930000000004,6.86,28782.495000000003,0.31845366189984997,0.5028499890285072,30.77653712382464,32.28994078906316,28.08555,28.1145,-0.10307791729198268
4,56704.435325,47565.946628000005,16.116003350748464,49.856875,60.2175,20.78073485351819,59754.00749999999,50269.82000000001,8.0275,28794.1675,0.8192706738794074,1.2143256639394222,32.06457263388995,33.1578417052059,28.08555,28.1150125,-0.10490269907477145
8,96136.57272399998,78202.86275000001,18.654409519555205,59.580312500000005,74.1346875,24.4281615676319,100164.98999999999,80973.405,14.990000000000002,28789.94,2.1740060691110275,2.9268217603854088,33.78497477071416,34.30720553776669,28.08555,28.10335,-0.06337778679783579
12,123240.02776600003,95600.288954,22.427566199904238,70.2697222222222,91.47000000000001,30.169861367508588,125859.27666666667,97571.40000000001,12.603333333333333,28807.16,3.863991361934234,4.978532072330583,36.09101493895933,36.81030525525185,28.08555,28.105187499999996,-0.06992029709225189
